AT1G04260	MPI7,MPIP7,PRA1.D
AT1G04270	RPS15
AT1G04310	ERS2
AT1G04370	ATERF14,ERF14
AT1G04400	AT-PHH1,ATCRY2,CRY2,FHA,PHH1
AT1G04410	c-NAD-MDH1
AT1G04440	CKL13
AT1G04450	RIC3
AT1G04510	MAC3A
AT1G04520	PDLP2
AT1G04530	TPR4
AT1G04550	BDL,IAA12
AT1G04580	AAO4,AO4,ATAO-4,ATAO2
AT1G04600	ATXIA,XIA
AT1G04610	YUC3
AT1G04620	HCAR
AT1G04630	MEE4
AT1G04635	AtPOP5,EMB1687,POP5
AT1G04640	LIP2
AT1G04690	KAB1,KV-BETA1
AT1G04710	KAT1,PKT4
AT1G04730	CTF18
AT1G04750	AT VAMP7B,ATVAMP721,VAMP721,VAMP7B
AT1G04760	ATVAMP726,VAMP726
AT1G04820	TOR2,TUA4
AT1G04860	ATUBP2,UBP2
AT1G04870	ATPRMT10,PRMT10
AT1G04920	ATSPS3F,SPS3F
AT1G04940	atTIC20,AtTic20-I,TIC20,Tic20-I
AT1G04950	ATTAF6,EMB2781,TAF6,TAFII59
AT1G04980	ATPDI10,ATPDIL2-2,PDI10,PDIL2-2
AT1G05000	AtPFA-DSP1,PFA-DSP1
AT1G05010	ACO4,EAT1,EFE
AT1G05055	ATGTF2H2,GTF2H2
AT1G05065	CLE20
AT1G05100	MAPKKK18
AT1G05160	ATKAO1,CYP88A3,KAO1
AT1G05180	AXR1
AT1G05190	emb2394
AT1G05200	ATGLR3.4,GLR3.4,GLUR3
AT1G05230	HDG2
AT1G05250	AtPRX1,PRX2
AT1G05260	RCI3,RCI3A
AT1G05300	ZIP5
AT1G05360	KMS2
AT1G05385	LPA19,Psb27-H1
AT1G05420	ATOFP12,OFP12
AT1G05460	SDE3
AT1G05470	CVP2
AT1G05490	chr31
AT1G05500	ATSYTE,NTMC2T2.1,NTMC2TYPE2.1,SYT5,SYTE
AT1G05510	OBAP1a
AT1G05530	UGT2,UGT75B2
AT1G05560	UGT1,UGT75B1
AT1G05570	ATGSL06,ATGSL6,CALS1,GSL06,GSL6
AT1G05580	ATCHX23,CHX23
AT1G05590	ATHEX3,HEXO2
AT1G05600	EMB3101
AT1G05610	APS2
AT1G05620	NSH2,URH2
AT1G05630	5PTASE13,AT5PTASE13
AT1G05680	UGT74E2
AT1G05690	BT3
AT1G05750	CLB19,PDE247
AT1G05760	RTM1
AT1G05800	DGL
AT1G05805	AKS2
AT1G05810	ARA,ARA-1,ATRAB11D,ATRABA5E,RABA5E
AT1G05820	ATSPPL5,SPPL5
AT1G05830	ATX2,SDG30
AT1G05850	ATCTL1,CTL1,ELP,ELP1,ERH2,HOT2,POM1
AT1G05880	ARI12,ATARI12
AT1G05890	ARI5,ATARI5
AT1G05900	ATNTH2,NTH2
AT1G05940	CAT9
AT1G05990	RHS1
AT1G06040	BBX24,STO
AT1G06080	ADS1,AtADS1
AT1G06110	SKIP16
AT1G06130	GLX2-4
AT1G06140	MEF3
AT1G06149	CPuORF8
AT1G06150	EMB1444
AT1G06160	ORA59
AT1G06180	ATMYB13,ATMYBLFGN,MYB13
AT1G06190	RHON1
AT1G06220	CLO,GFA1,MEE5
AT1G06225	CLE3
AT1G06230	GTE4
AT1G06280	LBD2
AT1G06290	ACX3,ATACX3
AT1G06310	ACX6
AT1G06350	ADS4,AtADS4
AT1G06390	ATGSK1,ATSK2-3,ATSK22,BIL2,GSK1,SK22
AT1G06400	ARA-2,ARA2,ATRAB11E,ATRABA1A
AT1G06410	ATTPS7,ATTPSA,TPS7,TPS7
AT1G06430	FTSH8
AT1G06460	ACD31.2,ACD32.1
AT1G06490	ATGSL07,atgsl7,CalS7,gsl07,GSL07,GSL7
AT1G06520	ATGPAT1,GPAT1,sn-2-GPAT1
AT1G06530	PMD2
AT1G06570	HPD,HPPD,PDS1
AT1G06660	JASON
AT1G06670	NIH
AT1G06680	OE23,OEE2,PSBP-1,PSII-P
AT1G06710	MTSF1
AT1G06740	MUG3
AT1G06770	DRIP1
AT1G06780	GAUT6
AT1G06800	DALL4,PLA-I{gamma}1
AT1G06820	CCR2,CRTISO
AT1G06850	AtbZIP52,bZIP52
AT1G06870	Plsp2A
AT1G06910	TRFL7
AT1G06920	ATOFP4,OFP4
AT1G06950	ATTIC110,TIC110
AT1G06970	ATCHX14,CHX14
AT1G07000	ATEXO70B2,EXO70B2
AT1G07010	AtSLP1,SLP1
AT1G07051	MIR847A
AT1G07060	ATDFO,DFO
AT1G07090	LSH6
AT1G07110	ATF2KP,F2KP,FKFBP
AT1G07130	ATSTN1,STN1
AT1G07140	SIRANBP
AT1G07150	MAPKKK13
AT1G07180	ATNDI1,NDA1
AT1G07200	SMXL6
AT1G07230	NPC1
AT1G07240	UGT71C5
AT1G07250	UGT71C4
AT1G07260	UGT71C3
AT1G07290	GONST2
AT1G07320	EMB2784,PRPL4,RPL4
AT1G07340	ATSTP2,STP2
AT1G07350	SR45a
AT1G07360	MAC5A
AT1G07370	ATPCNA1,PCNA1
AT1G07390	AtRLP1,RLP1
AT1G07410	ATRAB-A2B,ATRABA2B,RAB-A2B,RABA2b
AT1G07420	ATSMO1,SMO2-1
AT1G07430	AIP1,AtAIP1,HAI2,HON
AT1G07490	DVL9,RTFL3
AT1G07500	SMR5
AT1G07510	ftsh10
AT1G07530	ATGRAS2,GRAS2,SCL14
AT1G07540	TRFL2
AT1G07570	APK1,APK1A
AT1G07600	ATMT-2,ATMT-Q,ATMT1,LSR4,MT-Q,MT1,MT1A
AT1G07610	MT1C
AT1G07620	ATOBGM,TRM32
AT1G07630	PLL5
AT1G07640	OBP2,URP3
AT1G07645	ATDSI-1VOC,DSI-1VOC
AT1G07670	ATECA4,ECA4
AT1G07705	NOT2a
AT1G07720	KCS3
AT1G07725	ATEXO70H6,EXO70H6
AT1G07745	ATRAD51D,RAD51D,SSN1
AT1G07770	RPS15A
AT1G07780	PAI1,TRP6
AT1G07790	HTB1
AT1G07810	ACA3,ATECA1,ECA1
AT1G07880	ATMPK13
AT1G07890	APX1,ATAPX01,ATAPX1,CS1,MEE6
AT1G07900	LBD1
AT1G07910	AtRLG1,ATRNL,RNL
AT1G07950	MED22B
AT1G07960	ATPDIL5-1,PDIL5-1
AT1G07980	NF-YC10
AT1G08000	GATA10
AT1G08010	GATA11
AT1G08030	AQC1,TPST
AT1G08060	MOM,MOM,MOM1
AT1G08065	ACA5,ATACA5
AT1G08070	EMB3102,OTP82
AT1G08080	ACA7,ATACA7
AT1G08090	ACH1,ATNRT2.1,ATNRT2:1,LIN1,NRT2,NRT2.1,NRT2:1,NRT2;1AT
AT1G08100	ACH2,ATNRT2.2,NRT2.2,NRT2;2AT
AT1G08130	ATLIG1,LIG1
AT1G08135	ATCHX6B,CHX6B
AT1G08140	ATCHX6A,CHX6A
AT1G08150	ATCHX5,CHX5
AT1G08190	ATVAM2,ATVPS41,VAM2,VPS41,ZIP2
AT1G08200	AXS2
AT1G08250	ADT6,AtADT6
AT1G08260	ABO4,EMB142,EMB2284,EMB529,ESD7,POL2A,TIL1
AT1G08290	WIP3
AT1G08300	NVL
AT1G08320	bZIP21,TGA9
AT1G08370	ATDCP1,DCP1
AT1G08380	PSAO
AT1G08420	BSL2
AT1G08430	ALMT1,ATALMT1
AT1G08450	AtCRT3,CRT3,EBS2,PSL1
AT1G08460	ATHDA8,HDA08,HDA8
AT1G08465	YAB2
AT1G08470	SSL3
AT1G08480	SDH6
AT1G08490	ATCPNIFS,ATNFS2,ATSUFS,CPNIFS,SUFS
AT1G08500	AtENODL18,ENODL18
AT1G08510	FATB
AT1G08520	ALB-1V,ALB1,CHLD,PDE166,V157
AT1G08540	ABC1,ATSIG1,ATSIG2,SIG1,SIG2,SIGA,SIGB
AT1G08550	AVDE1,NPQ1
AT1G08560	ATSYP111,KN,SYP111
AT1G08570	ACHT4
AT1G08600	ATRX,CHR20
AT1G08620	PKDM7D
AT1G08630	THA1
AT1G08640	CJD1
AT1G08650	ATPPCK1,PPCK1
AT1G08660	MGP2
AT1G08680	AGD14,ZIGA4
AT1G08695	SCRL3
AT1G08700	PS1
AT1G08720	ATEDR1,EDR1
AT1G08730	ATXIC,XIC
AT1G08770	PRA1.E
AT1G08780	AIP3,PFD4
AT1G08800	MyoB1
AT1G08810	AtMYB60,MYB60
AT1G08820	VAP27-2
AT1G08830	CSD1
AT1G08840	emb2411
AT1G08860	BON3
AT1G08880	G-H2AX,GAMMA-H2AX,H2AXA,HTA5
AT1G08920	ESL1
AT1G08930	ERD6
AT1G08960	ATCAX11,AtCXX5,CAX11,CCX5
AT1G08970	HAP5C,NF-YC9
AT1G08980	AMI1,ATAMI1,ATTOC64-I,TOC64-I
AT1G08990	GUX5,PGSIP5
AT1G09000	ANP1,MAPKKK1,NP1
AT1G09020	ATSNF4,SNF4
AT1G09030	NF-YB4
AT1G09070	(AT)SRC2,AtSRC2,SRC2
AT1G09080	BIP3
AT1G09090	ATRBOHB,ATRBOHB-BETA,RBOHB
AT1G09100	RPT5B
AT1G09140	At-SR30,ATSRP30,ATSRP30.1,ATSRP30.2,SR30
AT1G09155	AtPP2-B15,PP2-B15
AT1G09180	ATSAR1,ATSARA1A,SARA1A
AT1G09200	H3.1
AT1G09210	AtCRT1b,CRT1b
AT1G09240	ATNAS3,NAS3
AT1G09250	AIF4
AT1G09270	IMPA-4
AT1G09330	ECH
AT1G09340	CRB,CSP41B,HIP1.3
AT1G09350	AtGolS3,GolS3
AT1G09380	UMAMIT25
AT1G09415	NIMIN-3
AT1G09420	G6PD4
AT1G09430	ACLA-3
AT1G09450	AtHaspin,Haspin
AT1G09530	PAP3,PIF3,POC1
